,name,rating,review_count,desc_loc,highly_rated_for,critically_rated_for,salaries,interviews,jobs,benefits,photos
0,TCS,3.3,1.1L,IT Services & Consulting | Bengaluru +444 other locations,Job Security,"Promotions, Salary, Work Satisfaction",10.2L,11.9k,4.1k,10.8k,93
1,Accenture,3.7,73.8k,IT Services & Consulting | Bengaluru +259 other locations,None,"Promotions, Salary, Work Satisfaction",7L,9.4k,34.9k,6.8k,49
2,Wipro,3.6,65.4k,IT Services & Consulting | Hyderabad +374 other locations,None,"Promotions, Salary, Work Satisfaction",4.9L,6.9k,304,4.7k,114
3,Cognizant,3.7,61.7k,IT Services & Consulting | Hyderabad +232 other locations,None,"Promotions, Salary, Work Satisfaction",6.1L,6.5k,536,5.5k,96
4,Capgemini,3.6,53.7k,IT Services & Consulting | Bengaluru +182 other locations,"Work Life Balance, Job Security","Promotions, Salary, Work Satisfaction",4.9L,5.6k,2.2k,3.7k,42
5,HDFC Bank,3.8,52.7k,Banking | Mumbai +1853 other locations,"Job Security, Skill Development","Promotions, Salary",1.5L,3.1k,343,3.3k,89
6,Infosys,3.5,49k,IT Services & Consulting | Bengaluru +246 other locations,Job Security,"Promotions, Salary, Work Satisfaction",5.3L,8.5k,2k,4.8k,120
7,HCLTech,3.4,46.2k,IT Services & Consulting | Chennai +231 other locations,None,"Promotions, Salary, Work Satisfaction",3.9L,4.6k,239,3.8k,71
8,ICICI Bank,4.0,46.1k,Banking | Mumbai +1445 other locations,"Job Security, Promotions, Skill Development",None,1.5L,3k,13,3.7k,73
9,Tech Mahindra,3.4,43.5k,IT Services & Consulting | Hyderabad +321 other locations,None,"Promotions, Salary, Work Satisfaction",2.9L,4.6k,601,3.4k,79
10,Genpact,3.6,42.6k,Analytics & KPO | Hyderabad +181 other locations,Job Security,"Promotions, Salary, Work Satisfaction",2.4L,3.9k,659,3.6k,66
11,TP,3.9,38.9k,BPO | Mumbai +256 other locations,"Work Life Balance, Job Security, Skill Development",None,99.8k,2.3k,1.4k,1.9k,38
12,Jio,4.4,33.7k,Telecom | Mumbai +1959 other locations,"Job Security, Skill Development, Company Culture",None,61.9k,4.4k,--,2.6k,93
13,Axis Bank,3.6,33.4k,Banking | Mumbai +1523 other locations,None,"Promotions, Work Satisfaction, Company Culture",1L,2k,247,2.2k,121
14,Concentrix Corporation,3.6,32.4k,BPO | Bengaluru +183 other locations,Job Security,"Promotions, Salary, Work Satisfaction",1.3L,2k,20,3.1k,67
15,Amazon,3.9,31.6k,Internet | Bengaluru +516 other locations,"Company Culture, Work Life Balance, Salary",Promotions,1.6L,6k,56,3.6k,95
16,Reliance Retail,3.9,27.5k,Retail | Mumbai +1161 other locations,"Job Security, Skill Development, Work Life Balance",Promotions,75.7k,2k,84,1.9k,142
17,iEnergizer,4.6,27.2k,BPO | Noida +53 other locations,"Salary, Company Culture, Work Life Balance",None,24.7k,1.6k,106,552,29
18,LTIMindtree,3.6,26.6k,IT Services & Consulting | Bengaluru +145 other locations,None,"Promotions, Salary, Work Satisfaction",2L,3.5k,510,801,34
19,IBM,3.9,25.9k,IT Services & Consulting | Bengaluru +162 other locations,"Work Life Balance, Company Culture, Job Security",Promotions,2.2L,2.6k,1.8k,2.6k,23
20,HDB Financial Services,3.9,25.8k,NBFC | Mumbai +1093 other locations,"Work Life Balance, Job Security, Skill Development","Promotions, Salary",49.3k,1.1k,2.1k,1.5k,73
21,Larsen & Toubro Limited,3.9,24.1k,Engineering & Construction | Chennai +772 other locations,"Job Security, Skill Development, Salary","Promotions, Work Life Balance",76.8k,1.9k,291,2.5k,65
22,Deloitte,3.7,23.3k,Management Consulting | Hyderabad +183 other locations,None,"Promotions, Work Life Balance, Work Satisfaction",2.7L,3.4k,1.9k,2.4k,27
23,Kotak Mahindra Bank,3.6,22.6k,Banking | Mumbai +692 other locations,None,"Promotions, Work Satisfaction, Company Culture",87.4k,1.4k,182,1.3k,45
24,Reliance Industries,4.0,20.3k,Oil & Gas | Jamnagar +820 other locations,"Job Security, Work Life Balance, Skill Development",Promotions,74.2k,1.6k,74,1.9k,38
25,Vodafone Idea,3.9,17.6k,Telecom | Pune +706 other locations,"Salary, Company Culture, Work Life Balance",Promotions,49.2k,699,86,2k,22
26,Bharti Airtel,3.8,17.1k,Telecom | Gurugram +794 other locations,None,Promotions,50.1k,1.1k,182,1.6k,101
27,BYJU'S,3.2,16.4k,EdTech | Bengaluru +321 other locations,None,"Job Security, Company Culture, Work Life Balance",51k,2.1k,1,1.7k,28
28,WNS,3.3,15.3k,IT Services & Consulting | Pune +66 other locations,None,"Promotions, Salary, Work Satisfaction",71.1k,1.3k,75,1.3k,24
29,IDFC FIRST Bank,3.9,14.7k,Banking | Mumbai +731 other locations,"Salary, Work Life Balance, Skill Development",None,50.7k,990,35,740,96
30,Ernst & Young,3.4,14.7k,Management Consulting | Bengaluru +135 other locations,None,"Promotions, Work Life Balance, Work Satisfaction",1.5L,1.4k,5.4k,1.1k,10
31,IndusInd Bank,3.4,14.3k,Banking | Mumbai +799 other locations,None,"Promotions, Company Culture, Work Satisfaction",52.7k,778,153,821,16
32,AU Small Finance Bank,3.8,14.3k,Banking | Jaipur +805 other locations,Salary,None,29.9k,713,186,597,28
33,Tata Motors,4.1,14.2k,Automobile | Pune +506 other locations,"Job Security, Company Culture, Work Life Balance",Promotions,43.2k,1.3k,205,1.6k,45
34,Bajaj Finserv,4.0,13.2k,NBFC | Pune +1199 other locations,"Salary, Skill Development, Job Security",None,31.9k,779,2,740,19
35,Muthoot FinCorp,4.5,13.2k,NBFC | Bengaluru +1122 other locations,"Company Culture, Work Life Balance, Job Security",None,9.5k,2.4k,47,287,103
36,Flipkart,3.9,13k,Internet | Bengaluru +554 other locations,"Skill Development, Salary",Promotions,56.5k,1.7k,112,1.4k,105
37,PwC,3.3,12.7k,Management Consulting | Bengaluru +137 other locations,None,"Promotions, Work Life Balance, Work Satisfaction",1.3L,1.6k,1k,838,24
38,HDFC Life,3.8,12.1k,Insurance | Mumbai +717 other locations,Skill Development,None,33.4k,816,126,635,57
39,Infosys BPM,3.5,12.1k,BPO | Bengaluru +95 other locations,Job Security,"Promotions, Salary, Work Satisfaction",77.4k,1.1k,24,1.1k,8
40,Mahindra & Mahindra,4.0,12.1k,Automobile | Pune +566 other locations,"Job Security, Skill Development, Company Culture",Promotions,41.1k,883,7,1.2k,19
41,DXC Technology,3.6,12k,IT Services & Consulting | Bengaluru +131 other locations,Work Life Balance,"Promotions, Salary, Work Satisfaction",75.3k,902,214,1.1k,9
