,name,rating,review_count,desc_loc,highly_rated_for,critically_rated_for,salaries,interviews,jobs,benefits,photos
0,TCS,3.3,1.1L,IT Services & Consulting | Bengaluru +444 other locations,Job Security,"Promotions, Salary, Work Satisfaction",10.2L,11.9k,4.1k,10.8k,93
1,Accenture,3.7,73.8k,IT Services & Consulting | Bengaluru +259 other locations,None,"Promotions, Salary, Work Satisfaction",7L,9.4k,34.9k,6.8k,49
2,Wipro,3.6,65.4k,IT Services & Consulting | Hyderabad +374 other locations,None,"Promotions, Salary, Work Satisfaction",4.9L,6.9k,304,4.7k,114
3,Cognizant,3.7,61.7k,IT Services & Consulting | Hyderabad +232 other locations,None,"Promotions, Salary, Work Satisfaction",6.1L,6.5k,536,5.5k,96
4,Capgemini,3.6,53.7k,IT Services & Consulting | Bengaluru +182 other locations,"Work Life Balance, Job Security","Promotions, Salary, Work Satisfaction",4.9L,5.6k,2.2k,3.7k,42
5,HDFC Bank,3.8,52.7k,Banking | Mumbai +1853 other locations,"Job Security, Skill Development","Promotions, Salary",1.5L,3.1k,343,3.3k,89
6,Infosys,3.5,49k,IT Services & Consulting | Bengaluru +246 other locations,Job Security,"Promotions, Salary, Work Satisfaction",5.3L,8.5k,2k,4.8k,120
7,HCLTech,3.4,46.2k,IT Services & Consulting | Chennai +231 other locations,None,"Promotions, Salary, Work Satisfaction",3.9L,4.6k,239,3.8k,71
8,ICICI Bank,4.0,46.1k,Banking | Mumbai +1445 other locations,"Job Security, Promotions, Skill Development",None,1.5L,3k,13,3.7k,73
9,Tech Mahindra,3.4,43.5k,IT Services & Consulting | Hyderabad +321 other locations,None,"Promotions, Salary, Work Satisfaction",2.9L,4.6k,601,3.4k,79
10,Genpact,3.6,42.6k,Analytics & KPO | Hyderabad +181 other locations,Job Security,"Promotions, Salary, Work Satisfaction",2.4L,3.9k,659,3.6k,66
11,TP,3.9,38.9k,BPO | Mumbai +256 other locations,"Work Life Balance, Job Security, Skill Development",None,99.8k,2.3k,1.4k,1.9k,38
12,Jio,4.4,33.7k,Telecom | Mumbai +1959 other locations,"Job Security, Skill Development, Company Culture",None,61.9k,4.4k,--,2.6k,93
13,Axis Bank,3.6,33.4k,Banking | Mumbai +1523 other locations,None,"Promotions, Work Satisfaction, Company Culture",1L,2k,247,2.2k,121
14,Concentrix Corporation,3.6,32.4k,BPO | Bengaluru +183 other locations,Job Security,"Promotions, Salary, Work Satisfaction",1.3L,2k,20,3.1k,67
15,Amazon,3.9,31.6k,Internet | Bengaluru +516 other locations,"Company Culture, Work Life Balance, Salary",Promotions,1.6L,6k,56,3.6k,95
16,Reliance Retail,3.9,27.5k,Retail | Mumbai +1161 other locations,"Job Security, Skill Development, Work Life Balance",Promotions,75.7k,2k,84,1.9k,142
17,iEnergizer,4.6,27.2k,BPO | Noida +53 other locations,"Salary, Company Culture, Work Life Balance",None,24.7k,1.6k,106,552,29
18,LTIMindtree,3.6,26.6k,IT Services & Consulting | Bengaluru +145 other locations,None,"Promotions, Salary, Work Satisfaction",2L,3.5k,510,801,34
19,IBM,3.9,25.9k,IT Services & Consulting | Bengaluru +162 other locations,"Work Life Balance, Company Culture, Job Security",Promotions,2.2L,2.6k,1.8k,2.6k,23
